1,50.00,92.00
2,166.00,102.00
3,283.00,111.00
4,398.00,117.00
5,518.00,124.00
6,633.00,137.00
7,750.00,145.00
8,42.00,206.00
9,161.00,212.00
10,278.00,220.00
11,391.00,237.00
12,506.00,243.00
13,630.00,256.00
14,748.00,261.00
15,152.00,334.00
16,266.00,340.00
17,383.00,352.00
18,498.00,361.00
19,620.00,370.00
20,735.00,380.00
21,137.00,447.00
22,258.00,445.00
23,375.00,473.00
24,491.00,483.00
25,610.00,489.00
26,766.00,25.00
27,647.00,17.00
28,533.00,5.00
29,408.00,2.00
