1,7,0
7,13,0
13,19,0
19,25,0
25,31,0
31,37,0
2,8,0
8,14,0
14,20,0
20,26,0
26,32,0
32,38,0
9,3,0
15,9,0
21,15,0
27,21,0
33,27,0
39,33,0
4,10,0
10,16,0
16,22,0
22,28,0
28,34,0
34,40,0
41,35,0
35,29,0
29,23,0
23,17,0
17,11,0
11,5,0
42,36,0
36,30,0
30,24,0
24,18,0
12,6,0
18,12,0
24,23,0
23,22,0
22,21,0
21,20,0
20,19,0
25,26,0
26,27,0
27,28,0
28,29,0
29,30,0
13,14,0
14,15,0
15,16,0
16,17,0
17,18,0
7,8,0
8,9,0
9,10,0
10,11,0
11,12,0
6,5,0
5,4,0
4,3,0
3,2,0
2,1,0
31,32,0
32,33,0
33,34,0
34,35,0
35,36,0
42,41,0
41,40,0
40,39,0
39,38,0
38,37,0
