1,60.00,86.00
2,60.00,167.00
3,57.00,254.00
4,53.00,342.00
5,57.00,426.00
6,154.00,80.00
7,147.00,160.00
8,147.00,260.00
9,143.00,344.00
10,147.00,430.00
11,151.00,520.00
12,151.00,600.00
13,151.00,694.00
14,231.00,90.00
15,231.00,118.00
16,231.00,168.00
17,231.00,262.00
18,233.00,343.00
19,231.00,440.00
20,232.00,523.00
21,232.00,607.00
22,234.00,692.00
23,316.00,76.00
24,318.00,256.00
25,319.00,343.00
26,311.00,435.00
27,324.00,520.00
28,323.00,606.00
29,324.00,679.00
30,410.00,73.00
32,414.00,249.00
33,415.00,340.00
34,413.00,428.00
35,416.00,518.00
36,413.00,608.00
37,411.00,698.00
31,411.00,164.00
38,496.00,78
39,497,173
40,501,258
41,502,343
42,503,433
43,501,523
44,500,612
45,500,697
46,591,260
47,593,345
49,591,432
50,593,521
51,587,612
52,672,78
53,676,253
54,670,338
55,673,433
56,676,460
57,644,520
58,756,255
59,756,343
